Title,Start,End,Description,Web Page,Media,Media Caption,Media Credit,Tags,Place,Location,Source,Source URL
First Battle of Ypres,1914-11-22,,"The First Battle of Ypres, also called the First Battle of Flanders (French: 1re Bataille des Flandres), was a First World War battle fought for the strategic town of Ypres in western Belgium in October and November 1914. The German and Western Allied attempts to secure the town from enemy occupation included a series of further battles in and around the West Flanders Belgian municipality. The strategy of both the Allied and German armies is not entirely clear.",,,,,,,"50.8641,2.8956",,
Battle of Amiens (1918),1918-08-12,,"The Battle of Amiens (also known as the Third Battle of Picardy), which began on 8 August 1918, was the opening phase of the Allied offensive later known as the Hundred Days Offensive that ultimately led to the end of the First World War. Allied forces advanced over seven miles on the first day, one of the greatest advances of the war, with Henry Rawlinson's British Fourth Army playing the decisive role.",,,,,,,"49.8939,2.29425",,
Battle of the Sambre (1918),1918-11-04,,"The Second Battle of the Sambre (November 4, 1918) (which included the Second Battle of Guise and the Battle of Thiérache) was part of the final European Allied offensives of World War I.",,,,,,,"50.4667,4.86667",,
Battle of Verdun,1916-12-18,,"The Battle of Verdun was one of the major battles during the First World War on the Western Front. It was fought between the German and French armies, from 21 February to 18 December 1916, on hilly terrain north of the city of Verdun-sur-Meuse in north-eastern France. It ended with a French tactical victory since, by December 1916, they had recaptured most of the lost ground including the centerpiece of Verdun's defensive system: Fort Douaumont.",,,,,,,"49.208,5.422",,
Battle of Albert (1914),1914-09-29,,The Battle of Albert began on 25 September 1914 as part of the Race to the Sea during World War I. It directly followed the First Battle of the Marne and the First Battle of the Aisne as progress toward advancing the trench lines to the sea continued. The French Tenth Army began to assemble at Amiens from mid-September and on 25 September began to push eastwards.,,,,,,,"50.01,2.69",,
Battle of Guillemont,1916-09-06,,"The Battle of Guillemont was a British assault on the German-held village of Guillemont during the 1916 Battle of the Somme. Guillemont lay on the right flank of the British sector where it linked with French forces and by holding it, the Germans prevented the Allied armies from operating in unison. Guillemont came in range of British forces following the Battle of Bazentin Ridge on 14 July and it was subjected to a number of costly attacks in late July and August.",,,,,,,"50.0138,2.82444",,
Battle of Belleau Wood,1918-06-26,,"The Battle of Belleau Wood (1–26 June 1918) occurred during the German 1918 Spring Offensive in World War I, near the Marne River in France. The battle was fought between the U.S. Second (under the command of Major General Omar Bundy) and Third Divisions and an assortment of German units including elements from the 237th, 10th, 197th, 87th, and 28th Divisions. The battle has become a deep part of the lore of the United States Marine Corps.",,,,,,,"49.073,3.29",,
Battle of Belleau Wood,1918-06-26,,"The Battle of Belleau Wood (1–26 June 1918) occurred during the German 1918 Spring Offensive in World War I, near the Marne River in France. The battle was fought between the U.S. Second (under the command of Major General Omar Bundy) and Third Divisions and an assortment of German units including elements from the 237th, 10th, 197th, 87th, and 28th Divisions. The battle has become a deep part of the lore of the United States Marine Corps.",,,,,,,"49.073,3.29",,
Second Battle of Ypres,1915-05-25,,"The Second Battle of Ypres was a First World War battle fought for control of the strategic Flemish town of Ypres in western Belgium in the spring of 1915, following the First Battle of Ypres the previous autumn. It marked the first time that Germany used poison gas on a large scale on the Western Front. Additionally, the battle was the first time that a former colonial force defeated a major European power on European soil, in the Battle of St. Julien-Kitcheners' Wood.",,,,,,,"50.891,2.979",,
Third Battle of Krithia,1915-06-04,,"The Third Battle of Krithia, fought on the Gallipoli peninsula during World War I, was the final in a series of Allied attacks against the Ottoman defences aimed at capturing the original objectives of 25 April 1915. The previous failures in the first and second battles resulted in a less ambitious plan being developed for the attack, but the outcome was another costly failure for the Allies.",,,,,,,"40.0789,26.2039",,
Third Battle of Krithia,1915-06-04,,"The Third Battle of Krithia, fought on the Gallipoli peninsula during World War I, was the final in a series of Allied attacks against the Ottoman defences aimed at capturing the original objectives of 25 April 1915. The previous failures in the first and second battles resulted in a less ambitious plan being developed for the attack, but the outcome was another costly failure for the Allies.",,,,,,,"40.0789,26.2039",,
Third Battle of Krithia,1915-06-04,,"The Third Battle of Krithia, fought on the Gallipoli peninsula during World War I, was the final in a series of Allied attacks against the Ottoman defences aimed at capturing the original objectives of 25 April 1915. The previous failures in the first and second battles resulted in a less ambitious plan being developed for the attack, but the outcome was another costly failure for the Allies.",,,,,,,"40.0789,26.2039",,
Battle of Château-Thierry (1918),1918-07-18,,"The Battle of Château-Thierry was fought on July 18, 1918 and was one of the first actions of the American Expeditionary Force (AEF) under General John J. ""Black Jack"" Pershing. It was a battle in World War I as part of the Second Battle of the Marne, initially prompted by a German offensive launched on 15 July against the AEF, the newest troops on the front.",,,,,,,"49.0419,3.37194",,
Hundred Days Offensive,1918-11-11,,"The Hundred Days Offensive was the final period of the First World War, during which the Allies launched a series of offensives against the Central Powers on the Western Front from 8 August to 11 November 1918, beginning with the Battle of Amiens. The offensive forced the German armies to retreat beyond the Hindenburg Line and was followed by an armistice.",,,,,,,"49.8939,2.29425",,
Hundred Days Offensive,1918-11-11,,"The Hundred Days Offensive was the final period of the First World War, during which the Allies launched a series of offensives against the Central Powers on the Western Front from 8 August to 11 November 1918, beginning with the Battle of Amiens. The offensive forced the German armies to retreat beyond the Hindenburg Line and was followed by an armistice.",,,,,,,"49.8939,2.29425",,
Hundred Days Offensive,1918-11-11,,"The Hundred Days Offensive was the final period of the First World War, during which the Allies launched a series of offensives against the Central Powers on the Western Front from 8 August to 11 November 1918, beginning with the Battle of Amiens. The offensive forced the German armies to retreat beyond the Hindenburg Line and was followed by an armistice.",,,,,,,"49.8939,2.29425",,
Hundred Days Offensive,1918-11-11,,"The Hundred Days Offensive was the final period of the First World War, during which the Allies launched a series of offensives against the Central Powers on the Western Front from 8 August to 11 November 1918, beginning with the Battle of Amiens. The offensive forced the German armies to retreat beyond the Hindenburg Line and was followed by an armistice.",,,,,,,"49.8939,2.29425",,
Hundred Days Offensive,1918-11-11,,"The Hundred Days Offensive was the final period of the First World War, during which the Allies launched a series of offensives against the Central Powers on the Western Front from 8 August to 11 November 1918, beginning with the Battle of Amiens. The offensive forced the German armies to retreat beyond the Hindenburg Line and was followed by an armistice.",,,,,,,"49.8939,2.29425",,
Battle of Cantigny,1918-05-28,,"The Battle of Cantigny, fought on 28 May 1918 was the first American offensive of World War I. The U.S. 1st Division, the most experienced of the seven American divisions then in France and in reserve for the French Army near the village of Cantigny, was selected for the attack.",,,,,,,"49.664,2.491",,
Battle of Morval,1916-09-28,,"The Battle of Morval, 25–28 September 1916, was an attack during the Battle of the Somme by the British Fourth Army on the villages of Morval, Gueudecourt and Lesboeufs held by the German 1st Army, which had been the final objectives of the Battle of Flers-Courcelette (15–22 September).",,,,,,,"50.0316,2.8424",,
Battle of Arara,1918-09-19,,"The Battle of Arara took place on 19 September 1918 during the Battle of Sharon, which along with the Battle of Nablus formed the set piece Battle of Megiddo fought between 19 and 25 September in the last months of the Sinai and Palestine Campaign of the First World War.",,,,,,,"32.4941,35.0545",,
Battle of Chra,1914-08-22,,The Battle of Chra was fought between combined British and French and German soldiers on the Chra River and in Chra village on 22 August 1914 during the Togoland Campaign of the First World War. Entrenched German forces were able to hold the Allied advance at this river for some time but eventually withdrew further inland to Kamina due to limited manpower.,,,,,,,"7.17067,1.15867",,
Battle of Bafilo,1914-08-13,,"The Battle of Bafilo was a skirmish between French and German troops in Bafilo, northeastern Togoland on 13 August 1914 at the beginning of the First World War. French forces first crossed the border between French Dahomey and Togoland on 8 or 9 of August 1914. French units in northeastern Togoland came into contact with German ones on 13 August in the districts of Sansane-Mangu and Skode-Balfilo.",,,,,,,"9.35,1.26667",,
Battle of Albert (1916),1916-07-13,,"Battle of Albert (1916) Part of the Battle of the Somme (First World War) 300pxBritish, French and German positions during Battle of Albert Date 1–13 July 1916 Location Somme, Picardy, France Result German defensive victory in north and centre;limited Allied advance in south.",,,,,,,"49.993,2.712",,
Battle of Albert (1916),1916-07-13,,"Battle of Albert (1916) Part of the Battle of the Somme (First World War) 300pxBritish, French and German positions during Battle of Albert Date 1–13 July 1916 Location Somme, Picardy, France Result German defensive victory in north and centre;limited Allied advance in south.",,,,,,,"49.993,2.712",,
Battle of Albert (1916),1916-07-13,,"Battle of Albert (1916) Part of the Battle of the Somme (First World War) 300pxBritish, French and German positions during Battle of Albert Date 1–13 July 1916 Location Somme, Picardy, France Result German defensive victory in north and centre;limited Allied advance in south.",,,,,,,"49.993,2.712",,
Battle of Albert (1916),1916-07-13,,"Battle of Albert (1916) Part of the Battle of the Somme (First World War) 300pxBritish, French and German positions during Battle of Albert Date 1–13 July 1916 Location Somme, Picardy, France Result German defensive victory in north and centre;limited Allied advance in south.",,,,,,,"49.993,2.712",,
Battle of Kusseri,1914-09-25,,"The Battle of Kusseri between German and French forces took place from late August to 25 September 1914 in Kusseri, northeastern Kamerun during the Kamerun Campaign of World War I. The action resulted in the French capture of the Kusseri fort and the German garrison's retreat to Mora.",,,,,,,"12.0833,15.0333",,
Second Battle of Edea,1915-01-05,,"The Second Battle of Edea was the German counter-attack against French forces stationed in the village of Edea during the Kamerun Campaign of the First World War. Allied forces from Duala occupied the town following the First Battle of Edea in October 1914. The Germans, eager to retake the position attacked on 5 January 1915 but were repulsed by the French force.",,,,,,,"3.8,10.1333",,
Second Battle of Garua,1915-06-10,,"The Second Battle of Garua took place from 31 May to 10 June 1915 during the Kamerun campaign of the First World War in Garua, German Kamerun. The battle was between a combined French and British force and defending German garrison and resulted in an Allied victory.",,,,,,,"9.3,13.4",,
First Battle of Edea,1914-10-26,,"The First Battle of Edea involved the British and French assault on German forces stationed in the village of Edea during the Kamerun Campaign of the First World War. Allied forces from Duala launched their advance on 20 October. Following stiff resistance along the southern railway line between Duala and Edea, German forces withdrew from the town to Jaunde, allowing Allied troops to finally occupy Edea on 26 October 1914.",,,,,,,"3.8,10.1333",,
Battle of Tulkarm,1918-09-19,,"The Battle of Tulkarm took place on 19 September 1918, beginning of the Battle of Sharon, which along with the Battle of Nablus formed the set piece Battle of Megiddo fought between 19 and 25 September in the last months of the Sinai and Palestine Campaign of the First World War.",,,,,,,"32.3115,35.027",,
Second Battle of Jaunde,1915-10-09,,"The Second Battle of Jaunde involved the successful British and French assault on the German capital of Jaunde during the Kamerun Campaign of the First World War. After the failure of the First Battle of Jaunde during the summer of 1915, the bulk of Allied forces had retreated to the Kele river. Following the Second Duala Conference where Allied commanders discussed the situation, it was decided that another assault should be attempted.",,,,,,,"3.86667,11.5167",,
Siege of Mora,1914-08-26,,The Siege of Mora or Siege of Moraberg between Allied and besieged German troops from August 1914 to February 1916 on and around the Mora mountain in northern Kamerun during the Kamerun Campaign of the First World War. After more than a year of siege German forces on the mountain surrendered following the escape of many German troops to the neutral Spanish colony of Rio Muni.,,,,,,,"11.05,14.15",,
Battle of Tanga,1914-11-05,,"The Battle of Tanga, sometimes also known as the Battle of the Bees, was the unsuccessful attack by the British Indian Expeditionary Force “B” under Major General A.E. Aitken to capture German East Africa (the mainland portion of present-day Tanzania) during World War I in concert with the invasion Force “C” near Longido on the slopes of Mount Kilimanjaro.",,,,,,,"-5.06667,39.1",,
Battle of Tanga,1914-11-05,,"The Battle of Tanga, sometimes also known as the Battle of the Bees, was the unsuccessful attack by the British Indian Expeditionary Force “B” under Major General A.E. Aitken to capture German East Africa (the mainland portion of present-day Tanzania) during World War I in concert with the invasion Force “C” near Longido on the slopes of Mount Kilimanjaro.",,,,,,,"-5.06667,39.1",,
Battle of Tanga,1914-11-05,,"The Battle of Tanga, sometimes also known as the Battle of the Bees, was the unsuccessful attack by the British Indian Expeditionary Force “B” under Major General A.E. Aitken to capture German East Africa (the mainland portion of present-day Tanzania) during World War I in concert with the invasion Force “C” near Longido on the slopes of Mount Kilimanjaro.",,,,,,,"-5.06667,39.1",,
Battle of Stallupönen,1914-08-17,,"The Battle of Stallupönen, fought between Russian and German armies on August 17, 1914, was the opening battle of World War I on the Eastern Front. It was a minor German success, but did little to upset the Russian timetable.",,,,,,,"54.6306,22.5733",,
Battle of Stallupönen,1914-08-17,,"The Battle of Stallupönen, fought between Russian and German armies on August 17, 1914, was the opening battle of World War I on the Eastern Front. It was a minor German success, but did little to upset the Russian timetable.",,,,,,,"54.6306,22.5733",,
Siege of Toma,1914-09-17,,The Siege of Toma was a bloodless action during the First World War on the island of New Britain between 14–17 September 1914 as part of the occupation of German New Guinea by the Australian Naval and Military Expeditionary Force (AN&MEF).,,,,,,,"-4.38333,152.167",,
Battle of Flers-Courcelette,1916-09-22,,"The Battle of Flers–Courcelette, was a battle within the Franco-British Somme Offensive which took place in the summer and autumn of 1916. Launched on the 15 September 1916 the battle went on for one week. Flers–Courcelette began with the objective of cutting a hole in the German line by using massed artillery and infantry attacks. This hole would then be exploited with the use of cavalry. It was the third and final general offensive mounted by the British Army during the Battle of the Somme.",,,,,,,"50.0589,2.74778",,
First Battle of Ypres,1914-11-22,,"The First Battle of Ypres, also called the First Battle of Flanders (French: 1re Bataille des Flandres), was a First World War battle fought for the strategic town of Ypres in western Belgium in October and November 1914. The German and Western Allied attempts to secure the town from enemy occupation included a series of further battles in and around the West Flanders Belgian municipality. The strategy of both the Allied and German armies is not entirely clear.",,,,,,,"50.8641,2.8956",,
First Battle of Ypres,1914-11-22,,"The First Battle of Ypres, also called the First Battle of Flanders (French: 1re Bataille des Flandres), was a First World War battle fought for the strategic town of Ypres in western Belgium in October and November 1914. The German and Western Allied attempts to secure the town from enemy occupation included a series of further battles in and around the West Flanders Belgian municipality. The strategy of both the Allied and German armies is not entirely clear.",,,,,,,"50.8641,2.8956",,
First Battle of Ypres,1914-11-22,,"The First Battle of Ypres, also called the First Battle of Flanders (French: 1re Bataille des Flandres), was a First World War battle fought for the strategic town of Ypres in western Belgium in October and November 1914. The German and Western Allied attempts to secure the town from enemy occupation included a series of further battles in and around the West Flanders Belgian municipality. The strategy of both the Allied and German armies is not entirely clear.",,,,,,,"50.8641,2.8956",,
First Battle of Ypres,1914-11-22,,"The First Battle of Ypres, also called the First Battle of Flanders (French: 1re Bataille des Flandres), was a First World War battle fought for the strategic town of Ypres in western Belgium in October and November 1914. The German and Western Allied attempts to secure the town from enemy occupation included a series of further battles in and around the West Flanders Belgian municipality. The strategy of both the Allied and German armies is not entirely clear.",,,,,,,"50.8641,2.8956",,
Battle of Kahe,1916-03-18,,"The Battle of Kahe was fought during the East African Campaign of World War I. It was the last action between German and Entente forces before the German retreat from the Kilimanjaro area. British and South African forces surrounded German positions at Kahe, south of Mount Kilimanjaro. Entente forces inflicted heavy casualties and captured large German artillery pieces while receiving comparably little casualties. German forces retreated from there, further into the interior of the colony.",,,,,,,"-2.26667,37.8667",,
Battle of Amiens (1918),1918-08-12,,"The Battle of Amiens (also known as the Third Battle of Picardy), which began on 8 August 1918, was the opening phase of the Allied offensive later known as the Hundred Days Offensive that ultimately led to the end of the First World War. Allied forces advanced over seven miles on the first day, one of the greatest advances of the war, with Henry Rawlinson's British Fourth Army playing the decisive role.",,,,,,,"49.8939,2.29425",,
Battle of Bazentin Ridge,1916-07-14,,"The Battle of Bazentin Ridge, launched by the British Fourth Army at dawn on 14 July 1916, marked the start of the second phase of the Battle of the Somme. Dismissed beforehand by one French commander as ""an attack organized for amateurs by amateurs"", it turned out to be ""hugely successful"" for the British, in complete contrast to the disaster of the first day on the Somme.",,,,,,,"50.0274,2.75417",,
Battle of Bita Paka,1914-09-11,,"The Battle of Bita Paka (11 September 1914) was fought south of Kabakaul, on the island of New Britain, and was a part of the invasion and subsequent occupation of German New Guinea by the Australian Naval and Military Expeditionary Force shortly after the outbreak of the First World War.",,,,,,,"-4.41667,152.317",,
Battle of Bita Paka,1914-09-11,,"The Battle of Bita Paka (11 September 1914) was fought south of Kabakaul, on the island of New Britain, and was a part of the invasion and subsequent occupation of German New Guinea by the Australian Naval and Military Expeditionary Force shortly after the outbreak of the First World War.",,,,,,,"-4.41667,152.317",,
Battle of Fromelles,1916-07-20,,"The Battle of Fromelles occurred in France between 19 and 20 July 1916, during World War I. The action was intended partly as a diversion from the Battle of the Somme that was taking place about 80 kilometres to the south. The operation, carried out midway between the British-occupied village of Fleurbaix and that of Fromelles behind the German lines, sought to retake a salient just north of the latter, situated at about 16 kilometres from the city of Lille.",,,,,,,"50.6063,2.85469",,
Battle of Kakamas,1915-02-04,,"The battle of Kakamas took place in Kakamas, Northern Cape Province of South Africa on 4 February 1915. It was a skirmish for control of two river fords over the Orange River between contingents of a German invasion force and South African armed forces. The South Africans succeed in preventing the Germans gaining control of the fords and crossing the river.",,,,,,,"-28.8,20.65",,
Battle of Kakamas,1915-02-04,,"The battle of Kakamas took place in Kakamas, Northern Cape Province of South Africa on 4 February 1915. It was a skirmish for control of two river fords over the Orange River between contingents of a German invasion force and South African armed forces. The South Africans succeed in preventing the Germans gaining control of the fords and crossing the river.",,,,,,,"-28.8,20.65",,
Battle of Kakamas,1915-02-04,,"The battle of Kakamas took place in Kakamas, Northern Cape Province of South Africa on 4 February 1915. It was a skirmish for control of two river fords over the Orange River between contingents of a German invasion force and South African armed forces. The South Africans succeed in preventing the Germans gaining control of the fords and crossing the river.",,,,,,,"-28.8,20.65",,
Battle of Kilimanjaro,1914-11-03,,The Battle of Kilimanjaro at Longido took place in German East Africa in November 1914 and was an early skirmish during the East African Campaign of the First World War.,,,,,,,"-3.07583,37.3533",,
Battle of Liège,1914-08-16,,"The Battle of Liège was the opening engagement of the German invasion of Belgium, and the first battle of World War I. The attack on the city began on 5 August 1914 and lasted until the 16th when the last Belgian fort finally surrendered. The invasion of Belgium was the event that triggered the United Kingdom's entry into the war; the unexpected vigor of the city's defense allowed more time for the western Allies to organize and prepare their defense of France.",,,,,,,"50.6406,5.5721",,
Battle of Liège,1914-08-16,,"The Battle of Liège was the opening engagement of the German invasion of Belgium, and the first battle of World War I. The attack on the city began on 5 August 1914 and lasted until the 16th when the last Belgian fort finally surrendered. The invasion of Belgium was the event that triggered the United Kingdom's entry into the war; the unexpected vigor of the city's defense allowed more time for the western Allies to organize and prepare their defense of France.",,,,,,,"50.6406,5.5721",,
Battle of Mahiwa,1917-10-18,,"The Battle of Mahiwa fought between German and British Imperial forces was a battle of the East African Campaign of World War I. The battle began when South African and Nigerian troops under Lieutenant General Jacob van Deventer engaged a column of German forces under the command of General Paul Emil von Lettow-Vorbeck at Mahiwa in German East Africa. The Germans were able to inflict massive casualties upon van Deventer's army, forcing it to withdraw.",,,,,,,"-10.35,39.2667",,
Battle of Mons,1914-08-23,,"The Battle of Mons was the first major action of the British Expeditionary Force (BEF) in the First World War. It was a subsidiary action of the Battle of the Frontiers, in which the Allies clashed with Germany on the French borders. At Mons, the British army attempted to hold the line of the Mons-Condé Canal against the advancing German First Army.",,,,,,,"50.45,3.95",,
Battle of Ngomano,1917-11-25,,The Battle of Ngomano was fought between the German Empire and Portugal during the East African Campaign of World War I. A force of Germans and Askaris under Paul Emil von Lettow-Vorbeck had just won a costly victory against the British at the Battle of Mahiwa and were running critically low on supplies. To remedy the problem the Germans invaded Portuguese East Africa in an attempt to escape superior British forces to the north and resupply from captured Portuguese materiel.,,,,,,,"-11.4283,38.4936",,
Battle of Otavi,1915-07-01,,"The Battle of Otavi fought between the militaries of the Union of South Africa and German Southwest Africa on 1 July, 1915 was the final battle of the South-West Africa Campaign of World War I. The battle, fought between Otavi mountain and Otavifontein, was a delaying action led by the German Major Hermann Ritter. Ritter's forces intended to buy the main German force at Tsombe several days so as they could harden their positions there.",,,,,,,"-19.65,17.3333",,
Battle of Otavi,1915-07-01,,"The Battle of Otavi fought between the militaries of the Union of South Africa and German Southwest Africa on 1 July, 1915 was the final battle of the South-West Africa Campaign of World War I. The battle, fought between Otavi mountain and Otavifontein, was a delaying action led by the German Major Hermann Ritter. Ritter's forces intended to buy the main German force at Tsombe several days so as they could harden their positions there.",,,,,,,"-19.65,17.3333",,
Battle of Otavi,1915-07-01,,"The Battle of Otavi fought between the militaries of the Union of South Africa and German Southwest Africa on 1 July, 1915 was the final battle of the South-West Africa Campaign of World War I. The battle, fought between Otavi mountain and Otavifontein, was a delaying action led by the German Major Hermann Ritter. Ritter's forces intended to buy the main German force at Tsombe several days so as they could harden their positions there.",,,,,,,"-19.65,17.3333",,
Battle of Poelcappelle,1917-10-09,,"The Battle of Poelcappelle (9 October 1917) marked the end of the string of highly successful British attacks in late September and early October 1917, during the Third Battle of Ypres. Only the supporting attack in the north achieved a substantial advance. On the main front the German defences withstood the limited amount of artillery fire achieved by the British after the attack of 4 October.",,,,,,,"50.922,2.963",,
